id,categoria,pregunta,respuesta,rango_min,rango_max,informacion,fuente,activa
25_00001,Mix,¿Cuántos litros de agua tiene una piscina olímpica?,2500000,2400000,2600000,Una piscina olímpica tiene aproximadamente 2.5 millones de litros de agua.,Arquitectura Deportiva,SI
25_00002,Mix,¿Cuántos metros de largo tiene una cancha de futbol profesional?,100,90,120,Una cancha de fútbol profesional mide entre 90 y 120 metros de largo y entre 45 y 90 metros de ancho. Estas son las medidas establecidas por la FIFA. ,Reglamento FIFA,SI
25_00003,Mix,¿Cuántas ventanas tiene el Empire State Building?,6514,6000,7000,"El Empire State Building tiene 6,514 ventanas.",Arquitectura,SI
25_00004,Mix,¿Cuántos baños hay en la Casa Blanca?,35,30,40,La Casa Blanca tiene 35 baños.,Arquitectura,SI
25_00005,Mix,¿Cuántos metros mide de largo la Quinta Avenida de Nueva York?,10000,9000,12000,La Quinta Avenida mide aproximadamente 10 kilómetros de largo.,Urbanismo,SI
25_00006,Mix,¿Cuántos metros mide de ancho la Avenida 9 de Julio en Buenos Aires?,140,110,150,La Avenida 9 de Julio mide 140 metros de ancho.,Urbanismo,SI
25_00007,Mix,¿Cuál es la altura de la Torre Eiffel?,330,300,350,La Torre Eiffel mide 330 metros de altura (incluyendo antenas).,Arquitectura,SI
25_00008,Mix,¿Cuántos metros mide el edificio más alto del mundo (Burj Khalifa)?,828,800,900,El Burj Khalifa en Dubái mide 828 metros de altura.,Arquitectura,SI
25_00009,Mix,¿A cuántos metros se considera que comienza el espacio exterior?,100000,90,110,"La línea de Kármán, que marca el inicio del espacio exterior, está a 100 km de altura.",Astronomía,SI
25_00010,Mix,¿Cuántos huevos puede poner una abeja reina en su vida?,1500000,1000000,2000000,Una abeja reina puede poner hasta 1.5 millones de huevos en su vida.,Entomología,SI
25_00011,Mix,¿Cuántos modelos de autos tiene Ford (hasta 2023)?,50,40,60,Ford tiene alrededor de 50 modelos de autos en su catálogo hasta 2023.,Industria Automotriz,SI
